command name,iroh core support,iroh mobile support,depth,group,description,flag count,arguments
p2p forward <protocol> <listen-address> <target-address>,no,no,2," advanced ",,,
pin remote service,no,no,3," advanced ",,,
tar cat,no,no,2,(hidden),,,
repo verify,no,no,2," advanced ",,,
bootstrap add [<peer>]...,no,no,2,network,,,
shutdown,no,no,1,(hidden),,,
files write <path> <data>,no,no,2," data structure ",,,
repo stat,no,no,2," advanced ",,,
pin remote service add,no,no,4," advanced ",,,
stats bw,no,no,2,advanced,,,
repo version,no,no,2," advanced ",,,
log tail,no,no,2,tool,,,
block get <key>,full,full,2," data structure ",Get a raw IPFS block.,0,
key rename <name> <newName>,no,no,2," advanced ",Rename a keypair.,,
log,no,no,1," tool "," Manage and show logs of running daemon ",,
swarm addrs local,full,full,3," network",,,
pin remote add,no,no,3," advanced ",,,
stats bitswap,no,no,2," advanced ",,,
object stat,no,no,2,(hidden),,,
dag export <root>,full,no,2," data structure ",Streams the selected DAG as a .car stream on stdout.,1,
tar,no,no,1,(hidden),,,
bitswap ledger <peer>,,full,full,2," network",,,
